"entrez" "genename" "PubMed" "scaledconnectivity"
"132" 313 "AOAH" 17 0.144481900575676
"133" 317 "APAF1" 155 0.0672443250068672
"134" 318 "NUDT2" 23 0.126226286524543
"135" 320 "APBA1" 48 0.739569882863121
"136" 321 "APBA2" 45 0.130000342811439
"137" 322 "APBB1" 98 0.354560722821174
"138" 323 "APBB2" 28 0.094973755076341
"139" 324 "APC" 708 0.195829849210346
"140" 327 "APEH" 33 0.117687313573788
"141" 328 "APEX1" 491 0.0670261239349066
"142" 329 "BIRC2" 228 0.0946281770271153
"143" 331 "XIAP" 446 0.113699723406697
"144" 332 "BIRC5" 1015 0.186742854113676
"145" 333 "APLP1" 50 0.153660304698396
"146" 334 "APLP2" 76 0.0334955939951193
"147" 341 "APOC1" 169 0.129775115352564
"148" 344 "APOC2" 116 0.168846448133668
"149" 347 "APOD" 89 0.0052691089235787
"150" 348 "APOE" 3748 0.0302089152023907
"151" 351 "APP" 2214 0.0738206289038809
"152" 353 "APRT" 56 0.235852160803
"153" 355 "FAS" 1069 0.143224110404353
"154" 357 "SHROOM2" 15 0.021803609916572
"155" 358 "AQP1" 258 0.057738097507417
"156" 361 "AQP4" 230 0.0174998230183396
"157" 369 "ARAF" 74 0.178415629338839
"158" 372 "ARCN1" 51 0.0376028314387026
"159" 373 "TRIM23" 30 0.361841406252947
"160" 375 "ARF1" 184 0.129069258286715
"161" 377 "ARF3" 45 0.327723128746157
"162" 378 "ARF4" 56 0.209035622654289
"163" 381 "ARF5" 45 0.290197474887506
"164" 382 "ARF6" 193 0.113693433094184
"165" 387 "RHOA" 761 0.238010742734459
"166" 388 "RHOB" 115 0.00859670983246699
"167" 389 "RHOC" 136 0.405269844708527
"168" 390 "RND3" 57 0.0499183789963207
"169" 391 "RHOG" 48 0.1490881280224
"170" 392 "ARHGAP1" 78 0.0137638079237108
"171" 393 "ARHGAP4" 31 0.125757355240003
"172" 394 "ARHGAP5" 31 0.116246194616533
"173" 395 "ARHGAP6" 11 0.0316776077448702
"174" 396 "ARHGDIA" 124 0.104575987340589
"175" 397 "ARHGDIB" 78 0.330502398747793
"176" 398 "ARHGDIG" 16 0.685874925142879
"177" 400 "ARL1" 39 0.14881042913464
"178" 402 "ARL2" 40 0.105954706893179
"179" 403 "ARL3" 33 0.065794187166699
"180" 405 "ARNT" 165 0.0360540907838908
"181" 406 "ARNTL" 123 0.0789678386233365
"182" 408 "ARRB1" 201 0.257138498406832
"183" 409 "ARRB2" 260 0.126839053048971
"184" 410 "ARSA" 115 0.0917067372520859
"185" 411 "ARSB" 61 0.018812330429113
"186" 412 "STS" 84 0.377008296864036
"187" 414 "ARSD" 12 0.157309942019815
"188" 421 "ARVCF" 37 0.0710515666213822
"189" 427 "ASAH1" 74 0.079847396440239
"190" 429 "ASCL1" 78 0.0480794125031991
"191" 435 "ASL" 38 0.219292657415896
"192" 439 "ASNA1" 40 0.323143507638991
"193" 440 "ASNS" 65 0.0631196853045331
"194" 444 "ASPH" 56 0.012640008742928
"195" 445 "ASS1" 87 0.0815006907036585
"196" 460 "ASTN1" 12 0.154550538022257
"197" 463 "ZFHX3" 61 0.0664142107637993
"198" 467 "ATF3" 186 0.0651349408168944
"199" 468 "ATF4" 196 0.105258234564758
"200" 471 "ATIC" 57 0.0185602373843443
"201" 472 "ATM" 1026 0.16755261502837
"202" 473 "RERE" 39 0.10350388280816
"203" 475 "ATOX1" 60 0.237696551620796
"204" 476 "ATP1A1" 169 0.15612637086208
"205" 477 "ATP1A2" 123 0.0468696474375365
"206" 478 "ATP1A3" 80 0.703831766542394
"207" 481 "ATP1B1" 85 0.549708085569388
"208" 482 "ATP1B2" 43 0.00941854908178978
"209" 483 "ATP1B3" 30 0.173602061114141
"210" 488 "ATP2A2" 198 0.194737595357316
"211" 490 "ATP2B1" 91 0.528131122026331
"212" 491 "ATP2B2" 56 0.680197570804979
"213" 493 "ATP2B4" 92 0.00210664772739707
"214" 498 "ATP5A1" 139 0.064287313873466
"215" 501 "ALDH7A1" 53 0.0093430186084839
"216" 506 "ATP5B" 126 0.0664242017472973
"217" 509 "ATP5C1" 66 0.107611829241199
"218" 513 "ATP5D" 26 0.234090937140805
"219" 514 "ATP5E" 24 0.262994980552789
"220" 515 "ATP5F1" 45 0.356632729280362
"221" 516 "ATP5G1" 24 0.290208545675197
"222" 517 "ATP5G2" 20 0.134553292431226
"223" 518 "ATP5G3" 13 0.229772143301561
"224" 521 "ATP5I" 30 0.262851174178949
"225" 522 "ATP5J" 43 0.30460354870673
"226" 523 "ATP6V1A" 48 0.623222294165345
"227" 526 "ATP6V1B2" 50 0.525795759906632
"228" 527 "ATP6V0C" 51 0.114473147355659
"229" 528 "ATP6V1C1" 38 0.680239393488109
"230" 529 "ATP6V1E1" 48 0.35291051739783
"231" 533 "ATP6V0B" 23 0.434695445641148
"232" 534 "ATP6V1G2" 30 0.456710966656738
"233" 535 "ATP6V0A1" 41 0.606374868765849
"234" 537 "ATP6AP1" 43 0.064571881506378
"235" 539 "ATP5O" 58 0.293812679950093
"236" 545 "ATR" 405 0.0413469224209981
"237" 546 "ATRX" 166 0.105524756298497
"238" 547 "KIF1A" 47 0.495856852669364
"239" 550 "AUP1" 35 0.360623921547661
"240" 558 "AXL" 175 0.0803904329180333
"241" 563 "AZGP1" 102 0.00763892109643393
"242" 567 "B2M" 332 0.253312083422159
"243" 571 "BACH1" 83 0.0894214772540555
"244" 572 "BAD" 244 0.242364142885539
"245" 573 "BAG1" 156 0.0744918974344147
"246" 575 "BAI1" 29 0.0522618853573735
"247" 576 "BAI2" 19 0.307866524630122
"248" 577 "BAI3" 20 0.317234364003172
"249" 581 "BAX" 870 0.214074348313107
"250" 582 "BBS1" 57 0.0485728024484911
"251" 583 "BBS2" 43 0.0517843403768838
"252" 585 "BBS4" 49 0.139347030426353
"253" 586 "BCAT1" 35 0.0843304726146058
"254" 587 "BCAT2" 29 0.0667372745513282
"255" 590 "BCHE" 211 0.0460495734799354
"256" 593 "BCKDHA" 54 0.0224031958998057
"257" 594 "BCKDHB" 36 0.0123756433904732
"258" 595 "CCND1" 1254 0.0245857147544619
"259" 596 "BCL2" 1609 0.0573117253816443
"260" 598 "BCL2L1" 608 0.0507443061150323
"261" 599 "BCL2L2" 83 0.552357061766203
"262" 604 "BCL6" 291 0.0406541561065651
"263" 605 "BCL7A" 22 0.249104206509769
"264" 607 "BCL9" 39 0.0985102585629263
"265" 610 "HCN2" 42 0.202974431489485
"266" 613 "BCR" 383 0.102644994667939
"267" 622 "BDH1" 18 0.15795213997424
"268" 633 "BGN" 107 0.0803473463028491
"269" 636 "BICD1" 34 0.0469211202632622
"270" 637 "BID" 220 0.0473075832111582
"271" 641 "BLM" 244 0.0219704670973914
"272" 642 "BLMH" 58 0.0787240392153711
"273" 644 "BLVRA" 43 0.126889692841096
"274" 645 "BLVRB" 23 0.159505879161008
"275" 648 "BMI1" 372 0.0162051184640455
"276" 649 "BMP1" 72 0.076578714884612
"277" 650 "BMP2" 504 0.114341640517076
"278" 655 "BMP7" 227 0.0473769034189882
"279" 657 "BMPR1A" 137 0.0655261777697069
"280" 658 "BMPR1B" 100 0.0298690281624253
"281" 659 "BMPR2" 211 0.259460707758022
"282" 661 "POLR3D" 25 0.0386566470021045
"283" 663 "BNIP2" 28 0.132473376618167
"284" 664 "BNIP3" 134 0.0174085292694095
"285" 665 "BNIP3L" 40 0.0428405759449004
"286" 666 "BOK" 26 0.141073796478225
"287" 667 "DST" 97 0.193376592292889
"288" 669 "BPGM" 27 0.130111572655756
"289" 677 "ZFP36L1" 49 0.048570574526297
"290" 678 "ZFP36L2" 23 0.13640272041859
"291" 682 "BSG" 422 0.108283060744384
"292" 684 "BST2" 297 0.105344197544531
"293" 687 "KLF9" 45 0.0206406915718367
"294" 689 "BTF3" 33 0.102553631411593
"295" 694 "BTG1" 47 0.133235240123969
"296" 695 "BTK" 255 0.217170674753367
"297" 699 "BUB1" 113 0.148897301791625
"298" 701 "BUB1B" 186 0.0167120219524068
"299" 705 "BYSL" 40 0.00784297610179121
"300" 706 "TSPO" 105 0.233789142405009
"301" 708 "C1QBP" 177 0.295391250868646
"302" 710 "SERPING1" 163 0.141600978098271
"303" 712 "C1QA" 124 0.222855262073783
"304" 713 "C1QB" 70 0.243126664850641
"305" 714 "C1QC" 68 0.247565587568202
"306" 715 "C1R" 49 0.130491405609241
"307" 716 "C1S" 60 0.122306378638073
"308" 717 "C2" 111 0.145449124559926
"309" 718 "C3" 484 0.16398263773044
"310" 719 "C3AR1" 52 0.176245856114045
"311" 720 "C4A" 142 0.0241047820202186
"312" 726 "CAPN5" 31 0.0657602484550495
"313" 728 "C5AR1" 115 0.116705994806973
"314" 734 "OSGIN2" 7 0.0484603204562365
"315" 738 "C11orf2" 17 0.109386063016895
"316" 740 "MRPL49" 25 0.225033965833532
"317" 744 "MPPED2" 21 0.0118457500410284
"318" 745 "C11orf9" 15 0.147411232198699
"319" 746 "C11orf10" 17 0.45842534595554
"320" 747 "DAGLA" 14 0.222893443257905
