fromNode	toNode	weight	direction	fromAltName	toAltName
STAT1|6772	WARS|7453	0.174976853766435	undirected	NA	NA
STAT1|6772	UBD|10537	0.134977973837526	undirected	NA	NA
STAT1|6772	OAS3|4940	0.102489690340225	undirected	NA	NA
STAT1|6772	APOL1|8542	0.0744904017545772	undirected	NA	NA
STAT1|6772	IFI6|2537	0.0761704677046601	undirected	NA	NA
STAT1|6772	PSMB8|5696	0.0756349987475912	undirected	NA	NA
STAT1|6772	TAP2|6891	0.173194073339001	undirected	NA	NA
STAT1|6772	IRF1|3659	0.143700336576392	undirected	NA	NA
STAT1|6772	GBP2|2634	0.0770404259383421	undirected	NA	NA
STAT1|6772	BST2|684	0.0867222940673121	undirected	NA	NA
STAT1|6772	PARP14|54625	0.147215737834235	undirected	NA	NA
STAT1|6772	NLRC5|84166	0.100900912852976	undirected	NA	NA
STAT1|6772	MX1|4599	0.0872159958128021	undirected	NA	NA
STAT1|6772	UBE2L6|9246	0.163069970901307	undirected	NA	NA
STAT1|6772	PML|5371	0.0736898603222836	undirected	NA	NA
STAT1|6772	HCP5|10866	0.0646704115725901	undirected	NA	NA
STAT1|6772	LAP3|51056	0.168033074887153	undirected	NA	NA
STAT1|6772	PSMB9|5698	0.146866773286619	undirected	NA	NA
STAT1|6772	PARP9|83666	0.150368671759144	undirected	NA	NA
STAT1|6772	DTX3L|151636	0.140995980440915	undirected	NA	NA
STAT1|6772	TYMP|1890	0.106301932238973	undirected	NA	NA
STAT1|6772	ISG15|9636	0.0800367470505536	undirected	NA	NA
STAT1|6772	GBP1|2633	0.149317739182005	undirected	NA	NA
STAT1|6772	EPSTI1|94240	0.0853572408782763	undirected	NA	NA
STAT1|6772	IRF9|10379	0.0959523907071907	undirected	NA	NA
STAT1|6772	OAS2|4939	0.103223799925775	undirected	NA	NA
STAT1|6772	NUB1|51667	0.0897870901121636	undirected	NA	NA
STAT1|6772	GBP4|115361	0.17211904744224	undirected	NA	NA
STAT1|6772	XAF1|54739	0.114275124273896	undirected	NA	NA
STAT1|6772	SP100|6672	0.0785591338343361	undirected	NA	NA
STAT1|6772	RARRES3|5920	0.0907961206100132	undirected	NA	NA
STAT1|6772	BATF2|116071	0.106805796731868	undirected	NA	NA
STAT1|6772	IFI35|3430	0.0905346745473036	undirected	NA	NA
STAT1|6772	APOL2|23780	0.100596066866015	undirected	NA	NA
STAT1|6772	IFIT3|3437	0.148757529350116	undirected	NA	NA
STAT1|6772	CX3CL1|6376	0.0991213218206474	undirected	NA	NA
STAT1|6772	SAMD9L|219285	0.0908861921523148	undirected	NA	NA
STAT1|6772	CXCL10|3627	0.168460473044391	undirected	NA	NA
STAT1|6772	IFIH1|64135	0.134719302014271	undirected	NA	NA
STAT1|6772	TRIM21|6737	0.0637869001407285	undirected	NA	NA
STAT1|6772	NMI|9111	0.10473995362718	undirected	NA	NA
STAT1|6772	IFIT5|24138	0.12866953448256	undirected	NA	NA
STAT1|6772	JAK2|3717	0.102243435517126	undirected	NA	NA
STAT1|6772	HERC6|55008	0.0688245029295528	undirected	NA	NA
STAT1|6772	CXCL11|6373	0.0962926251453177	undirected	NA	NA
STAT1|6772	ETV7|51513	0.158237566337546	undirected	NA	NA
STAT1|6772	FBXO6|26270	0.0864397787814888	undirected	NA	NA
STAT1|6772	IL15RA|3601	0.120124749500418	undirected	NA	NA
STAT1|6772	CMPK2|129607	0.0849060160332922	undirected	NA	NA
STAT1|6772	SP110|3431	0.0991297256157724	undirected	NA	NA
STAT1|6772	USP18|11274	0.0996689160551991	undirected	NA	NA
STAT1|6772	IFIT2|3433	0.104061716236533	undirected	NA	NA
STAT1|6772	IFI44|10561	0.0889645931669168	undirected	NA	NA
